i,timestamp,prev_timestamp,delta,difficulty,boundary
75,1515663924,1515663914,10,834,138839435536350354224905257804182143708956816145851995251148182263684807721
76,1515663955,1515663924,31,1303,88865763037080733249095153498609292289539512406477792816160847281591043468
77,1515663963,1515663955,8,1710,67714672068605962236006423981688835001912271734292727508454727490007678152
78,1515663984,1515663963,21,2671,43351587134899361820880189071017561906877568201288118322522494948675825398
79,1515664004,1515663984,20,3839,30162044604666891227812186769650405796631931405480740828199422768406650075
80,1515664034,1515664004,30,5518,20984430815026494277559076659783963003492204542522755353290609642608396092
81,1515664154,1515664034,120,7242,15988965650002236319189586441409542647510354137757603429916816350167513068
82,1515664166,1515664154,12,2716,42633317097686375340048227175511011728008094501340413858415899855638118424
83,1515664247,1515664166,81,4074,28422211398457583560032151450340674485338729667560275905610599903758745616
84,1515664275,1515664247,28,3311,34971938760892840659489877683083028647922073290740128069905643010544587629
85,1515664425,1515664275,150,4552,25437629445807600049114891258499101022247360427425431467367659052704993330
86,1515664427,1515664425,2,285,406288032411635773416038543890133010011473630405756365050728364940046068912
87,1515664435,1515664427,8,463,250090905480164568949397375828699584996263465800519576759087654444736781079
88,1515664445,1515664435,10,723,160155033523258914832048388670384381539792509910982799501324459208731852890
89,1515664446,1515664445,1,1129,102561637942706993289256851203443673917865353999681633338757824630569645385
90,1515664454,1515664446,8,1834,63136362724817990961598137954573559352928017811145345713989958564838129574
91,1515664475,1515664454,21,2865,40416086993827642381700169287500142357162298312614507518135282376234949263
92,1515664485,1515664475,10,4118,28118525798279794906160996845237471552518209000884061204336470133053212637
93,1515664526,1515664485,41,6434,17996905383480913183644853125378910141944355714274256145392847996256314833
94,1515664665,1515664526,139,8042,14398419452538696272515665880214860464221584763198279537361052475492803984
95,1515664695,1515664665,30,1508,76785205064533286089901183692763864624184339963952628673380360747953003740
96,1515664715,1515664695,20,1979,58510403859179482275680133910403187394274878557675878746567753414812091783
97,1515664726,1515664715,11,2844,40714518015933964635573482773800248893554846928846893122172146275637528002
98,1515664785,1515664726,59,4443,26061690127687642454101054469657417927812285542570462309128423139300726905
99,1515664845,1515664785,60,4720,24532222296041566827027751061162692341794488276618763567681691527100239330
100,1515664886,1515664845,41,4720,24532222296041566827027751061162692341794488276618763567681691527100239330
101,1515664946,1515664886,60,5900,19625777836833253461622200848930153873435590621295010854145353221680191464
102,1515664966,1515664946,20,5900,19625777836833253461622200848930153873435590621295010854145353221680191464
103,1515664975,1515664966,9,8481,13653117466963352838529770664861208330771133671222799674502721849771622407
104,1515665136,1515664975,161,13251,8738366103487751522418759716903472028772921641056566601724970493390169016
105,1515665136,1515665136,0,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
106,1515665136,1515665136,0,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
107,1515665136,1515665136,0,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
108,1515665137,1515665136,1,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
109,1515665137,1515665137,0,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
110,1515665137,1515665137,0,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
111,1515665137,1515665137,0,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
112,1515665138,1515665137,1,35,3308345406780462726387742428819654510093428133304016115413073828797517989712
113,1515665138,1515665138,0,56,2067715879237789203992339018012284068808392583315010072133171142998448743570
114,1515665139,1515665138,1,91,1272440541069408740918362472622944042343626205116929275158874549537506919120
115,1515665140,1515665139,1,147,787701287328681601520891054480870121450816222215241932241208054475599521360
116,1515665145,1515665140,5,238,486521383350068047998197416002890369131386490191767075796040268940811469075
117,1515665150,1515665145,5,386,299979505796155946693189080333388362314170944729638766941599958569723133782
118,1515665156,1515665150,6,627,184676378368925351552744792677333186368851650184434711386694711336384576778
119,1515665165,1515665156,9,979,118275882775603876837151159355145973292410607421491893809456163440156414341
120,1515665175,1515665165,10,1529,75730601201645647759039231529553896568521899715919270136989917598373531484
121,1515665176,1515665175,1,2389,48468852757352949109908323569982380851096686758325895370220838848017216257
122,1515665177,1515665176,1,3882,29827946738103090011223849821918574923562592649572530664466147348766906141
123,1515665186,1515665177,9,6308,18356387006549809039881259513108419127024411012308269505303992391869551306
124,1515665198,1515665186,12,9856,11748385677487438659047380784160704936411321496108011773483926948854822406
125,1515665356,1515665198,158,14784,7832257118324959106031587189440469957607547664072007848989284632569881604
126,1515665356,1515665356,0,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
127,1515665356,1515665356,0,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
128,1515665357,1515665356,1,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
129,1515665357,1515665357,0,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
130,1515665357,1515665357,0,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
131,1515665357,1515665357,0,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
132,1515665357,1515665357,0,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
133,1515665358,1515665357,1,35,3308345406780462726387742428819654510093428133304016115413073828797517989712
134,1515665359,1515665358,1,56,2067715879237789203992339018012284068808392583315010072133171142998448743570
135,1515665362,1515665359,3,91,1272440541069408740918362472622944042343626205116929275158874549537506919120
136,1515665364,1515665362,2,147,787701287328681601520891054480870121450816222215241932241208054475599521360
137,1515665366,1515665364,2,238,486521383350068047998197416002890369131386490191767075796040268940811469075
138,1515665373,1515665366,7,386,299979505796155946693189080333388362314170944729638766941599958569723133782
139,1515665376,1515665373,3,603,192026681985598997385689859052550427617363158649486839203080570494051624610
140,1515665396,1515665376,20,979,118275882775603876837151159355145973292410607421491893809456163440156414341
141,1515665404,1515665396,8,1407,82297149422399570308152796736807326121727067992637216801320244497450696261
142,1515665405,1515665404,1,2198,52680659343637941502989529121332078186201084925223186551163595999960477543
143,1515665436,1515665405,31,3571,32425676067576643915869780176053740647793330906088088501668323721062203763
144,1515665596,1515665436,160,4686,24710219640912547038747542682178384091606910940170841664416897995713429287
145,1515665596,1515665596,0,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
146,1515665596,1515665596,0,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
147,1515665597,1515665596,1,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
148,1515665597,1515665597,0,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
149,1515665598,1515665597,1,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
150,1515665598,1515665598,0,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
151,1515665599,1515665598,1,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
152,1515665599,1515665599,0,35,3308345406780462726387742428819654510093428133304016115413073828797517989712
153,1515665601,1515665599,2,56,2067715879237789203992339018012284068808392583315010072133171142998448743570
154,1515665602,1515665601,1,91,1272440541069408740918362472622944042343626205116929275158874549537506919120
155,1515665602,1515665602,0,147,787701287328681601520891054480870121450816222215241932241208054475599521360
156,1515665604,1515665602,2,238,486521383350068047998197416002890369131386490191767075796040268940811469075
157,1515665612,1515665604,8,386,299979505796155946693189080333388362314170944729638766941599958569723133782
158,1515665629,1515665612,17,603,192026681985598997385689859052550427617363158649486839203080570494051624610
159,1515665644,1515665629,15,904,128088594289066587857932505540583968864236708700929827477276088504328683230
160,1515665654,1515665644,10,1356,85392396192711058571955003693722645909491139133953218318184059002885788820
161,1515665656,1515665654,2,2118,54670485947741357612639747407312515511458916272729255920423788483433961114
162,1515665677,1515665656,21,3441,33650708874546990823473113922896805537131643320441895971943500147606256797
163,1515665716,1515665677,39,4946,23411259449518033850297409019144340447486854966769220388082811162133669559
164,1515665896,1515665716,180,6182,18730522361261112168160948723501764453780327509809214500074018765434022911
165,1515665897,1515665896,1,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
166,1515665897,1515665897,0,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
167,1515665897,1515665897,0,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
168,1515665898,1515665897,1,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
169,1515665898,1515665898,0,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
170,1515665900,1515665898,2,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
171,1515665903,1515665900,3,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
172,1515665904,1515665903,1,35,3308345406780462726387742428819654510093428133304016115413073828797517989712
173,1515665907,1515665904,3,56,2067715879237789203992339018012284068808392583315010072133171142998448743570
174,1515665912,1515665907,5,91,1272440541069408740918362472622944042343626205116929275158874549537506919120
175,1515665914,1515665912,2,147,787701287328681601520891054480870121450816222215241932241208054475599521360
176,1515665917,1515665914,3,238,486521383350068047998197416002890369131386490191767075796040268940811469075
177,1515665926,1515665917,9,386,299979505796155946693189080333388362314170944729638766941599958569723133782
178,1515665936,1515665926,10,603,192026681985598997385689859052550427617363158649486839203080570494051624610
179,1515665963,1515665936,27,942,122921538468488530173642234616441515767802531492187435286048390666574447600
180,1515665978,1515665963,15,1295,89414740723796289902371416995125797570092652251459895011164157535068053776
181,1515666004,1515665978,26,1942,59625174684508854492055090117758963879129755234624389309710393412931580659
182,1515666071,1515666004,67,2670,43367823684388088173622091763553523540550556054547027730133926594724018591
183,1515666147,1515666071,76,2504,46242847139503272932736016377271528695395361288195113434288172527121856884
184,1515666157,1515666147,10,2191,52848968159432311923126875859738889937594698615080129639186482888139265011
185,1515666167,1515666157,10,3423,33827662646017001292308204793656999080709899113537997090113229333307954905
186,1515666347,1515666167,180,5348,21651475175264808418767947832589361977051231238900629027572472701554437105
187,1515666347,1515666347,0,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
188,1515666348,1515666347,1,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
189,1515666349,1515666348,1,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
190,1515666350,1515666349,1,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
191,1515666351,1515666350,1,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
192,1515666352,1515666351,1,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
193,1515666353,1515666352,1,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
194,1515666355,1515666353,2,35,3308345406780462726387742428819654510093428133304016115413073828797517989712
195,1515666357,1515666355,2,56,2067715879237789203992339018012284068808392583315010072133171142998448743570
196,1515666360,1515666357,3,91,1272440541069408740918362472622944042343626205116929275158874549537506919120
197,1515666362,1515666360,2,147,787701287328681601520891054480870121450816222215241932241208054475599521360
198,1515666366,1515666362,4,238,486521383350068047998197416002890369131386490191767075796040268940811469075
199,1515666368,1515666366,2,386,299979505796155946693189080333388362314170944729638766941599958569723133782
200,1515666380,1515666368,12,627,184676378368925351552744792677333186368851650184434711386694711336384576778
201,1515666390,1515666380,10,940,123183073656719356833586154264561604099223387942170812807933600008418223021
202,1515666417,1515666390,27,1468,78877444984547817046029281341068057120756120344441801116796719351439461607
203,1515666447,1515666417,30,2018,57379627966955498227735869677248715487249744631140021823318921708579350663
204,1515666508,1515666447,61,2648,43728130376629983166001127269141959159089873363157312703722652570964172824
205,1515666567,1515666508,59,2648,43728130376629983166001127269141959159089873363157312703722652570964172824
206,1515666588,1515666567,21,2813,41163202715007534811081046928079597530490574001294192690884317101995424685
207,1515666718,1515666588,130,4043,28640140795774473268258962406304206740853322944754035132193317835249351877
208,1515666725,1515666718,7,1264,91607665535851420430040336241050560010498405589905509524887329120184438006
209,1515666747,1515666725,22,1975,58628905942944909075225815194272358406718979577539526095927890636918040324
210,1515666827,1515666747,80,2839,40786223753897920191465651640960869268499466243621191982901579432163835730
211,1515666904,1515666827,77,2307,50191629491684523373892928048846080560585168905782645877528211533555756237
212,1515666937,1515666904,33,2019,57351208141315599516379883610048493240846946342565905913550066373409177632
213,1515666969,1515666937,32,2649,43711622966144279133095879580478636411200447212397343918255033600571207867
214,1515667129,1515666969,160,3476,33311878376673243792741940451291112731090329305420185281777210589157977456
215,1515667139,1515667129,10,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
216,1515667139,1515667139,0,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
217,1515667140,1515667139,1,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
218,1515667140,1515667140,0,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
219,1515667141,1515667140,1,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
220,1515667141,1515667141,0,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
221,1515667142,1515667141,1,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
222,1515667145,1515667142,3,35,3308345406780462726387742428819654510093428133304016115413073828797517989712
223,1515667146,1515667145,1,56,2067715879237789203992339018012284068808392583315010072133171142998448743570
224,1515667149,1515667146,3,91,1272440541069408740918362472622944042343626205116929275158874549537506919120
225,1515667151,1515667149,2,147,787701287328681601520891054480870121450816222215241932241208054475599521360
226,1515667169,1515667151,18,238,486521383350068047998197416002890369131386490191767075796040268940811469075
227,1515667179,1515667169,10,342,338573360343029811180032119908444175009561358671463637542273637450038390760
228,1515667198,1515667179,19,534,216839118421940440868110458817767617702752780272735138650669632973620092958
229,1515667205,1515667198,7,767,150967521821794257397093852684078106718735312471500083493425794012924549726
230,1515667229,1515667205,24,1198,96654498528644570470426531726784564151310504729249218730765929889743847779
231,1515667286,1515667229,57,1647,70304850781612747676727981183174200275209462456369498506045891929516168573
232,1515667314,1515667286,28,1749,66204739415275126028342472846591142283173233084986028610324519158326546392
233,1515667349,1515667314,35,2404,48166426471429365816793254995294470820827780642945326139541424296136909168
234,1515667372,1515667349,23,3155,36701137634648556394158790810994582520846270892437579727244876072238709870
235,1515667524,1515667372,152,4535,25532985498856933941250492835432835248791617346337500339461429770212376987
236,1515667540,1515667524,16,284,407718624075057026139334454255943337511514030512818887462878816929271583239
237,1515667580,1515667540,40,426,271812416050038017426222969503962225007676020341879258308585877952847722159
238,1515667590,1515667580,10,532,217654303077662021472877791369714112506146587717369481277175909789310394060
239,1515667595,1515667590,5,831,139340660935398550449543904944269443866750884074176370685267850791712550709
240,1515667599,1515667595,4,1350,85771917953567552165608137043472524335755544196770788177375988154009725659
241,1515667723,1515667599,124,2193,52800770286053896681974913364654768742941169478176271791818323761018298969
